strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
6,4.981502327524069,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
7,5.479652560276476,5.6141531231196256,134.50056284314994,2.459700308236954,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
8,5.977802793028883,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
9,6.47595302578129,6.5855460769868195,109.59305120552986,15.93362224188972,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
10,6.974103258533697,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
11,7.472253491286104,,,0.0,False,RAL/A_seed1,A,1,test_single8_bpm120.mid,1,1.0
0,0.41943948656520685,0.544272667090566,124.83318052535914,2.3223670155949705,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
1,0.7390124287101263,0.8688389364564999,129.8265077463736,2.6275521103549337,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
2,0.9587188264347585,0.9337521903296866,-24.96663610507188,1.1168858912930588,True,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
3,1.617838019608655,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
4,2.1571173594782067,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
5,2.4966636105071833,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
6,2.6963966993477584,2.6564500815796435,-39.94661776811492,21.70162053285319,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
7,3.0159696414926778,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
8,3.355515892521655,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
9,3.4753557458259996,3.545262326920201,69.90658109420123,10.409772026734217,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
10,4.194394865652068,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
11,4.434074572260758,4.404114608934671,-29.959963326086303,7.434217352824465,True,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
12,4.973353912130309,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
13,5.272953545391172,5.332873472043344,59.919926652172606,8.77703176976836,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
14,5.612499796420148,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
15,5.91209942968101,,,0.0,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
16,6.1517791362897,6.131805827405643,-19.97330888405724,2.291848506118974,True,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
17,6.6910584761592515,6.616158567844036,-74.89990831521531,21.6100650044252,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
18,6.990658109420114,7.030604727188229,39.94661776811537,21.518509475997213,False,RAL/A_seed2,A,2,gmd_03_high_bpm138.mid,1,1.0
