strike_idx,target_time,peak_time,timing_err_ms,peak_force,success,model_key,model,seed,midi,trial,force_threshold
31,11.191062160303437,11.270962648730414,79.90048842697739,42.21005890072328,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
32,11.405794722950937,,,0.0,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
33,11.94512301983303,11.955110580886403,9.987561053373284,29.65169225135045,True,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
34,12.244749851434193,12.344625461967915,99.87561053372218,1.5746635334330037,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
35,12.584326927248846,12.694190098835938,109.86317158709191,26.172582171086766,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
36,12.883953758850009,12.96884802780367,84.89426895366137,1.9256263924070185,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
37,13.643008398906288,13.742884009440008,99.8756105337204,1.6509598071229945,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
38,13.922660108400706,14.002560596827683,79.90048842697739,41.1876888332774,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
39,14.302187428428846,14.41205060001594,109.86317158709369,3.375255592516844,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
40,14.621789382136754,14.716671212143789,94.88183000703465,7.327402569658478,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
41,14.861490847417684,14.96636023847809,104.86939106040616,2.673329874568928,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
42,15.186086581652276,15.290955972712684,104.86939106040793,23.227546006653064,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
43,15.500694754833498,15.540644999046986,39.95024421348781,40.974059266945424,False,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
44,15.580595243260474,15.580595243260474,0.0,14.72814111758781,True,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
45,16.064991954349022,16.084967076455765,19.975122106743015,77.21478926969206,True,RAL/E_seed1,E,1,gmd_03_high_bpm138.mid,2,1.0
