meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,exp_mode,cmd_DF,cmd_F,cmd_G
-0.007000361266897738,0.2096615008333815,-0.01017464206930521,-1.44,9.9,1.0,0.2084414197210478,46.455,1,0.0,0.2,0.0
0.009636919513120557,0.21261612068914754,-0.008948437539826066,-1.44,9.9,1.0,0.5441450239570074,46.46,1,0.0,0.2,0.0
0.018899072140764098,0.2120250058746791,-0.005867105755293971,-1.44,9.9,1.0,0.2847376934110386,46.465,1,0.0,0.2,0.0
0.02290022818454347,0.21296610329821114,-0.0057525785631883375,-1.44,9.9,1.0,0.6662190618609927,46.47,1,0.0,0.2,0.0
0.005876501146129435,0.21059068151024152,-0.007970358213253204,-1.44,9.9,1.0,0.4068117313150239,46.475,1,0.0,0.2,0.0
-0.012675461003266162,0.19944411553389396,-0.007716644870905964,-1.44,9.9,1.0,0.5899227881710019,46.480000000000004,1,0.0,0.2,0.0
0.00569204801609808,0.1996823044586316,-0.0008230859738258984,-1.44,9.9,1.0,0.19318216498304963,46.485,1,0.0,0.2,0.0
0.011385127173313215,0.21039856911069138,-0.006153359084140691,-1.44,9.9,1.0,0.5441450239570074,46.49,1,0.0,0.2,0.0
0.006277843342335724,0.21126442626567576,-0.007180525036845136,-1.44,9.9,1.0,0.19318216498304963,46.495,1,0.0,0.2,0.0
-0.00435174571256209,0.2060439013924721,-0.007295960798360031,-1.44,9.9,1.0,0.7119968260749872,46.5,1,0.0,0.2,0.0
0.0010277125483003295,0.19963932289621586,0.003940605907791856,-1.44,9.9,1.0,0.26947843867304044,46.505,1,0.0,0.2,0.0
0.011664788261035711,0.20872659860837173,-0.006002146698534554,-1.44,9.9,1.0,0.4983672597430129,46.51,1,0.0,0.2,0.0
0.017470005321128773,0.20982681632978423,-0.0027369149772894777,-1.44,9.9,1.0,0.513626514481011,46.515,1,0.0,0.2,0.0
0.028254801474239793,0.2152633006589702,-0.004504622847605708,-1.44,9.9,1.0,0.803552354503033,46.52,1,0.0,0.2,0.0
0.02640122406488053,0.21865944262059941,0.0004853351146373264,-1.44,9.9,1.0,0.2847376934110386,46.525,1,0.0,0.2,0.0
0.025144216203387623,0.21574892576630839,-0.005551267872497543,-1.44,9.9,1.0,0.513626514481011,46.53,1,0.0,0.2,0.0
0.004853265719758361,0.21431004640094348,-0.008131843787845691,-1.44,9.9,1.0,0.26947843867304044,46.535000000000004,1,0.0,0.2,0.0
-0.0168528264462862,0.20561477506393444,-0.006209689473716961,-1.44,9.9,1.0,0.4068117313150239,46.54,1,0.0,0.2,0.0
-0.023312071641409398,0.20385421325543013,-0.007065320360724497,-1.44,9.9,1.0,0.4983672597430129,46.545,1,0.0,0.2,0.0
-0.005131954757192232,0.21235231862788215,-0.008050543989865499,-1.44,9.9,1.0,0.6509598071229945,46.550000000000004,1,0.0,0.2,0.0
-0.020566411621302242,0.19965168677849926,-0.004535026363905824,-1.44,9.9,1.0,0.3305154576250331,46.555,1,0.0,0.2,0.0
-0.010874111849417866,0.2075969567015006,-0.01142338219377252,-1.44,9.9,1.0,0.4068117313150239,46.56,1,0.0,0.2,0.0
-0.0020746987500681025,0.20716624324124203,-0.012833566037327184,-1.44,9.9,1.0,0.3762932218390276,46.565,1,0.0,0.2,0.0
0.00927655249680816,0.2160976415580258,-0.01515974292667004,-1.44,9.9,1.0,0.5899227881710019,46.57,1,0.0,0.2,0.0
0.020769173396740444,0.2132184193806584,-0.011249517187335068,-1.44,9.9,1.0,0.4525894955290184,46.575,1,0.0,0.2,0.0
0.020104846845453783,0.21324828014232622,-0.005763394309677837,-1.44,9.9,1.0,0.39155247657702574,46.58,1,0.0,0.2,0.0
0.02071725172546367,0.21530140717592955,-0.009167711324592882,-1.44,9.9,1.0,0.3305154576250331,46.585,1,0.0,0.2,0.0
0.023589481968805493,0.21978214784884945,-0.007955786826030709,-1.44,9.9,1.0,0.5899227881710019,46.59,1,0.0,0.2,0.0
0.016538166419222722,0.21163294119251724,-0.006155412968799064,-1.44,9.9,1.0,0.31525620288703493,46.595,1,0.0,0.2,0.0
-0.009365563221132352,0.2076071935062338,-0.01116266300381187,-1.44,9.9,1.0,0.6357005523849963,46.6,1,0.0,0.2,0.0
-0.02002360290323711,0.20843113376204062,-0.014319305573309064,-1.44,9.9,1.0,0.4525894955290184,46.605000000000004,1,0.0,0.2,0.0
-0.029357016721064545,0.19851226580825382,-0.005540120560660634,-1.44,9.9,1.0,0.605182042909,46.61,1,0.0,0.2,0.0
-0.031742788483543276,0.19763862333441487,-0.0012596824755544101,-1.44,9.9,1.0,0.1626636555070533,46.615,1,0.0,0.2,0.0
-0.013105824761417638,0.20478768881523995,-0.005808911160521596,-1.44,9.9,1.0,0.3610339671010294,46.62,1,0.0,0.2,0.0
-0.0047454517584529605,0.2050203636728721,-0.001607131677242273,-1.44,9.9,1.0,0.4068117313150239,46.625,1,0.0,0.2,0.0
0.009351044552429195,0.20747240626002939,0.001734227494209599,-1.44,9.9,1.0,0.4068117313150239,46.63,1,0.0,0.2,0.0
0.01948077778322189,0.20936615016262727,-8.29254426569072e-05,-1.44,9.9,1.0,0.4831080050050147,46.635,1,0.0,0.2,0.0
